text_id	text
hasoc_hi_3936	"दिल बड़ा कर पगली
बाते तो मेरे #कमीने DOST भी बड़ी बड़ी कर लेते हैं 
#FRIENDSHIP"
hasoc_hi_6850	I guess you have gone through many exams and interviews in your life and career, you expect good outcomes when you're prepared, and the life you're talking about is just hardly 1000 months of which hardly 300 months of youth as you said you will live or should say enjoy! 
hasoc_hi_3121	"Back in Action after a long summer vacations.

Feeling refreshed. 

Discussed many legal issues with energetic, visionary MLA Bhai @KapilMishra_IND ji."
hasoc_hi_7459	जिन्होंने उर्दू अख़बार वन्दे मातरम् के 1931 एडिशन में हिंदू सम्पादक का नाम देखकर @AalokTweet को टार्गेट किया वो जान लें कि बँटवारे से पहले लाहौर में उस वक़्त भी मुसलमान क़रीब 60% थे और उनके घरों में भी “वन्दे मातरम्” हाथों हाथ लिया जाता था. सो सबक़ बस ये कि कट्टरपंथ से दूर रहें 
hasoc_hi_5886	"ये देखो mc कांग्रेस में आते ही धर्म भी बदल लिया
सीखो को चाहिए इसे लात मार कर बाहर कर दे
@TajinderBagga जी सिख समुदाय से कहिये इस हरामी को पंजाब में कूट दे "
hasoc_hi_6601	भाभी की चुदाई पड़ोसी ने की 
hasoc_hi_3053	"Actress : I’m an actress my opinion doesn’t matter

Also the actress : Don’t vote for Modi because me and 300 other actors are saying so."
hasoc_hi_5936	"इस्लाम सच्चा और अच्छा धर्म है, यही वजह है कि मै खुद अपने बच्चों को क़ुरआन की तालीम दिला रही हूँ :- अनीता नायर, लेखिका 

http://teesrijungnews.com/104323/ "
hasoc_hi_7240	#Budget2019 आने में अब बस चंद दिन दूर हैं। आखिर मोदी सरकार के दूसरे कार्यकाल में क्या है आम आदमी के मन की बात, देखिए इस वीडियो में
hasoc_hi_1882	धमकी किसे दे रहा है बे. सूअर की औलाद.
hasoc_hi_674	ड्रामा क्यों करते हैं @NitishKumar जी? क्या आपको नहीं पता है कि भाजपा #प्रज्ञा_ठाकुर जैसे गोड्सेवादियों की शरणस्थली है! आपने सिर्फ सत्ता की लालच में नफरत, हिंसा और आतंक के इन्हीं सरगनाओं को बिहार में पनपाया है। अब #ड्रामेबाजी क्यों पलटु कुमार?
hasoc_hi_2808	रन्डी के कोठों पर पहला धरम । सेकुलरिज्म ।
hasoc_hi_6073	"Jharkhand ke #Tabrez_Ansari ko @aimim_national jharkhand ki team  madad karegi,
Qatilo ke khilaf pura muqadma #AIMIM Jharkhand president Janab #Hubban_Malik sahab aur unki team ladegi. @syedasimwaqar
@asadowaisi"
hasoc_hi_1483	"राम भक्त हो तो ऐसा हो

लिंचिंग करने वाले राम भक्त हैं? 

@anasinbox @AqdasShaikh_sp @dralvirashah @snk1jUGc7LvGsne"
hasoc_hi_4033	Soch raha tha BAAP Ka Raj hai... :) , Gaya Jail.
hasoc_hi_6550	ढूंढ के नहीं मारना चाहिए भाई, उसकी मजबूरी समझो, कोई शादी शुदा बन्दा है अपनी कम, अपने परिवार की भविष्य की ज्यादा सोचता है । तुम्हारे दिल्ली जैसे शहर में कोई ध्रुव त्यागी अपने बेटी की आन के लिए जान गवा देता है और मादरजात राजनेताओं और भड़वा पत्रकारों के मुंह से उफ्फ तक नहीं निकलता
hasoc_hi_19	"गजब का राष्ट्रवाद ओवर फ्लो हो रहा है....

वही वोटर #आतिशी(दिल्ली) को Reject करता है और #प्रज्ञा_ठाकुर(भोपाल) को चुनता है.... 

ये 2 परिणाम काफ़ी है... इस देश का भविष्य समझने के लिए।"
hasoc_hi_7003	Akhileshji has twitted sorrow for the family of who has lost their life in fire at Surat not for politics. Followers of Akhileshji are suggested to respect his expression not to advice for his carrier.
hasoc_hi_5190	"1984 के नरसंहार के बाद भी किसी सिख ने कहा कि वो भारत मे असुरक्षित है?
नहीँ !!
क्योंकि वो बिकाऊ नही है
वो भारत से प्यार करता है

#AmarnathYatra"
hasoc_hi_6431	@MehboobaMufti BCCI पर सरकार का कंट्रोल नही होता , तो भगवा जर्सी पर भड़वा ज्ञान बंद होना चाहिए 
hasoc_hi_4719	"मुझे भी कोई फोलो कर लो ।
@mirza__786

Follow Back मिलेगा जल्दी ।

Retweet मुझे भी कोई फोलो कर लो ।

Follow Back मिलेगा जल्दी ।

Retweet "
hasoc_hi_2596	"मंदिर के नाम पे इस छोटे से वाकये की अफवाह नहीं फैलानी चाहिए : फतेह पुर मस्जिद के शाही इमाम

लेकिन एक चोर  का पुलिस की लापरवाही की वजह से मौत होने पे बंगाल से मेरठ तक तलवार लेके अल्लाह हु अकबर बोल के सड़को पे उतरना  जायज़ है सुअर कहीं के"
hasoc_hi_1438	बेशर्म हलकट कहीका सुअर माइनर क्या था रे समझा जरा रे सुअर हमको भी,मंदिर तोड़ना माइनर है रे भड़वे 
hasoc_hi_2824	#traders in the guise of academician / @CBItweets raid, FIR filed against some of them @Igidr_Mumbai @FinMinIndia @PMOIndia https://www.thehindubusinessline.com/todays-paper/tp-markets/article26937939.ece …
hasoc_hi_2288	What a great moment of courage and resilience by Baloch brothers! Plane with 'Justice for Balochistan' flying over Leeds stadium in United Kingdom during Afg Vs Pak World Cup match. Embarrassment for Pakistan Army which has been killing, torturing and abducting Baloch people.
hasoc_hi_7192	बस एक ही शब्द है कटेला लुंड की पैदाइश है मादरचोद इसकी माँ को मौलाना ने ठोक ठोक के इतना गन्दी औलाद पैदा किया है mc
hasoc_hi_3183	"एक हम है कि समझे नहीं खुद को आज तक !
एक दुनिया है कि न जाने मुझे क्या-क्या समझ लेती है !"
hasoc_hi_5080	"समाजवादी पार्टी जम्मू-कश्मीर में राष्ट्रपति शासन बढ़ाने के फैसले के साथ, सदन में करेगी समर्थन 
#JammuAndKashmir #samajwadiparty"
hasoc_hi_5588	"Let me make one thing perfectly clear to all you kids out there: BSDK is not भोसड़ीके.
So either fucking grow up or stop writing it."
hasoc_hi_813	"Why All #Paid_Media is Silent On This News 

This is Not #Pakistan 

This is Not #Kashmir 

This is My #Delhi 

""Peaceful_Muslims"" Attack on #Hindu_Temple  #DurgaMandir at Lal Kuwa ""Old_Delhi""  

@ippatel @Swamy39 @KapilMishra_IND @vhsindia @MODIfiedVikas @indiantweeter"
hasoc_hi_5840	"#AIMIM Floor Leader Akbaruddin owaisi says ""our educational institutions are open for all MUSLIMS and other communities"" @asadowaisi @imAkbarOwaisi"
hasoc_hi_6123	In Islam right to marriage depends on boy & girl whether they like it or not, one cant force his/her daughter not to marry with someone whom they do not like, we can only tell them in good manner & give advice & the rest depends upon them: @asadowaisi
hasoc_hi_1520	अमरनाथ यात्रियों की सुरक्षा के लिए एहतिहातन यह फैसला किया गया है
hasoc_hi_2137	लड़की सोते हुए अपने बॉयफ्रेंड का लिया लुंड 63 sec 
hasoc_hi_307	"और @shahid_siddiqui चोर लुटेरे पत्थरबाज तो भटके हुए नौजवान है
ये सूअर क्या है इस्लाम का फरिस्ता ???????????????????????????"
hasoc_hi_2894	"मत जोड़ो आतंकवाद का नाम मदरसों से.. 
खूबसूरत तस्वीर
#जय_हिन्द
@AbbasAliRushdi @dralvirashah @ShayarImran @AshrafFem @HFatima20 @HarunHk055771"
hasoc_hi_7139	ये मादरचोद शक्ल से छक्का लगता है 
hasoc_hi_4747	"हम सभी 17 जातियों का SC में शामिल किए जाने पर स्वागत करते हैं, #लेकिन इन 17 जातियों को SC की सूची में शामिल करने से पहले SC का कोटा 15% से बढ़ाकर 30% कर दिया जाए अन्यथा आंदोलन होगा और फिर चाहे #फैसला सड़क पर हो या विधानसभा में यह तय करना अब सरकार की जिम्मेदारी है,
#जय_भीम"
hasoc_hi_677	हिंदुओ की आने वाली पीढ़ी कभी हमें माफ़ नहीं करेगी ,, अगर बच गयी तो !! कुछ हरामी हिंदुओ के कारन
hasoc_hi_6267	सुल्तानपुरी वार्ड 45 में रात्रि प्रवास के दौरान मुस्लिम समाज के प्रमुख लोगों को भाजपा में शामिल करते हुए प्रदेश अध्यक्ष श्री @ManojTiwariMP
hasoc_hi_4551	Doctor's हड़ताल तो सिर्फ़ बहाना है,  BJP का असली “मक़सद” तो, ममता सरकार को गिराना है.
hasoc_hi_197	"मोदी जी का कहना हैं एक हत्या का पूरा झारखंड दोषी नहीं तो फिर एक आतंकवादी से पूरा इस्लाम कैसे ग़लत हो गया

@TariqAyyubi
@ziddy_zoya
@Zubeena_"
hasoc_hi_5998	"कर्नाटक में विधायकों के इस्तीफे पर जीटी देवगौड़ा ने ये कहा
(@nagarjund)"
hasoc_hi_5379	"#Srilanka joins many other countries like #Germany #Spain France #Netherlands Belgium etc

In #India rather than a blanket ban, prohibit its use in security sensitive areas. Our lives matter, more than religious practices"
hasoc_hi_508	Bikne Ki taiyari... Bhai bikne ke liye bikni ka intezam bhi Kar lena warna koi puchega vhi nahi..
hasoc_hi_3829	"#कांग्रेस मुस्लिम #लीग से #गठबंधन करे तो #गलत तुम #पीडीपी से #करो तो सही ?

कितने #कमीने हो #बे तुम सब @INCIndia
@RoflSinha @BJP4India @narendramodi @Raghavhindustan @DrKumarVishwas @Me2Anshu @LalluSinghBJP @yadavakhilesh"
hasoc_hi_746	"And one chutiya was preaching about the sportsman spirit 
@waqyounis99

#INDvBAN"
hasoc_hi_2626	#AIMIM President Barrister Asaduddin Owaisi quotes crimes which took place in many other places and asked media that will you broadcast it. @asadowaisi
hasoc_hi_6202	सत्यवचन प्रभु गांड फाड़ दी जाएगी आज
hasoc_hi_3424	भारतीय मौसम विभाग के अनुसार देश की राजधानी दिल्ली में अगले 72 घंटों में #Monsoon दस्तक देगा। विभाग का कहना है कि मंगलवार रात से ही हल्की #Rain शुरू होने की संभावना है।  https://www.navjivanindia.com/news/monsoon-will-speed-up-and-reach-soon-in-other-part-of-india …
hasoc_hi_6980	"•@DrRPNishank जी से भेंट कर उन्हें बधाई दी, और अपने क्षेत्र में 2नए सेंट्रल स्कूल खोलने पर चर्चा की..देश के HRDमंत्री श्री निशंक जी ने खुले दिल से समर्थन दिया और कहा @narendramodi जी के कार्याकाल में  शिक्षा से कोई वंचित नहीं रहेगा
बहुत आभार..नॉर्थ ईस्ट दिल्ली की जनता को समर्पित"
hasoc_hi_1401	Healthy people help build a healthy society and yoga ensures the same. That is why promoting yoga is no less than a social service: PM Shri @narendramodi #MannKiBaat
hasoc_hi_7446	"Article 370 is a bridge between India and the people of Kashmir. Repealing 370 will only worsen the situation. 
Mizoram, Nagaland, Assam, AP, Arunanchal Pradesh, Karnataka also enjoy special provisions granted by the Constitution. Will @AmitShah remove these as well? @asadowaisi"
hasoc_hi_4605	"तुझ्या आईला आणि बायकोला तुझ्या अखंड Bjp ने झवल...
आईघाल्या मादरचौत आमच्या शेतकर्यांनच्या बद्दल काही पण  बलतो तुझा कधी तर मर्डर होणार हे नक्कीच आणि तो मर्डर शेतकरीच करतील...नेहमी शेतकर्याच्या बद्दल आपशब्द वापरतो भैनचौद ,मादरचौत..."
hasoc_hi_6815	"@SwetaSinghAT के Tweet Retweet करती हो और अपने आप को कांग्रेसी कहती हो जबकि ये रंडी कांग्रेस की सबसे बड़ी दुश्मनों में से एक

@paree7861 
@DeepaMishra_ 
@BodkheShilpa 
#RajasthanOnFirstIndia"
hasoc_hi_5790	"पाकिस्तान में पूर्व राष्ट्रपति जरदारी के इंटरव्यू का प्रसारण बीच में ही रोका गया..
ज़रदारी के खुलासे से डर गए पीएम इमरान?
देशहित @ZeeNews 8.10 PM"
hasoc_hi_940	"अय्यर के #नीच वाले बयान के लिए कांग्रेस जिम्मेदार और ""देशभक्त गोडसे"" #प्रज्ञा का निजी बयान है?
ये #दोगलापन नही तो क्या है?"
hasoc_hi_1577	इन सुअर की औलादों को शांतिप्रिय क्यो कह रहे हो।
hasoc_hi_311	"सब अपना शरीर चमकाने में लगें हैं,
आत्माएं सबकी मर रही हैं।।।"
hasoc_hi_4200	"आप बढे आगे हम करते है इन लान्डीयो और सूअर पत्रकारो के ढीले टांके।
बाकी का मीडिया सूअर बिका हुआ है।इन लान्डीयो को पता है की सूअर मीडिया कूछ नही कहेगा। @abpnewshindi @ndtvindia @aajtak @news24tvchannel @Republic_Bharat @IndiaTVHindi @ZeeNewsHindi बिकाऊ सूअर मीडिया।"
hasoc_hi_396	"इस सूअर के आंड ने तब राज्यसभा में कुछ नही बोला जब कंजरलाल ने
हनुमान जी का मजाक उडाया था
जब कंजर ने गीता ग्रंथ की प्रति लेने से मना कर दिया था
जब इसका पेचकस पकडने वाले इंजीनियर ने गौमाता का मजाक उडाया था"
hasoc_hi_3052	I began documenting Islamist attacks when hardly anyone was doing it. I reported about patterns when none was doing it. What I saw in Delhi's Hauz Qazi today would have left me numb if not for my earlier experiences and observations. Report soon
hasoc_hi_7189	"आतंकवाद को सपोर्ट करने वाले और कश्मीरी पंडितों पे अत्याचार करने वाले वहाँ के मुस्लिम पत्थरबाज.
#370_35A"
hasoc_hi_6017	#Japan के #Osaka में #G20Summit शुरू हो गया है। सम्मेलन में हिस्सा लेने पहुंचे #PMModi ने अमेरिका के राष्ट्रपति #DonaldTrump के साथ द्विपक्षी वर्ता की।
hasoc_hi_4068	Just returned to Delhi after Election Campaigning in Bihar & UP. First thing in the morning I will visit the grief stricken Tyagi family in Basaidarapur at 9 AM
hasoc_hi_3490	"Instant triple talaq violates the rights of women and is not a part of Islamic teaching. There must be a proper interval between each talaq. Also, it is one of the most displeasing acts in the sight of Allah.
#tripletalaqtruth 
#TrueIslam 
#MuslimsForPeace 
@iamsrk 
@iamrana"
hasoc_hi_1430	@RubikaLiyaquat आतंकवादी, कट्टरपंथी, पत्थरबाज़, कश्मीरी पंडितों पर अत्याचार, 
hasoc_hi_1195	"बोतलबंद पानी MRP से अधिक दाम पर बेचे जाने के मामलों पर सरकार गंभीर- @irvpaswan 

#bottledwater
https://abpnews.abplive.in/india-news/ram-vilas-paswan-says-government-looking-into-overpricing-of-bottled-water-packaged-food-1158920 …"
hasoc_hi_4543	"Wish @MamataOfficial is listening

Don't spare criminals: Eminent Muslims from Bengal tell CM Mamata Banerjee - India News"
hasoc_hi_503	सुअर  यही तो चाहते हैं मैडम, बिना शस्त्र के युद्ध नहीं लड़ी जाती
hasoc_hi_2052	राहुल गांधी अखिलेश यादव ममता बनर्जी मायावती केजरीवाल सहित सभी सेक्यूलर नेता और एवार्ड वापसी गैग के लोग देश के टुकड़े टुकड़े करने वाले ढपली गैग के लोग अहिसुणता वाले नसरुद्दीन शाह और आमिर खान जैसे लोग सबके सब अब मर गये सबके मुह पर ताले लटक गये अब कोई भी नही भौक रहा है ।कुत्ते सूअर 
hasoc_hi_5258	इसमें कोई दो राय नहीं कि हम सभी जरूरतों को पूरा किया जाएगा। संसाधन भी मिलेंगे साधन भी मिलेंगे, भवन भी मिलेंगे। लेकिन आपदा प्रबंधन का काम भवन से नहीं होता भावना से होता है। जब तक भावना नहीं होगी तब तक इसका सही परिणाम नहीं आएगा: श्री अमित शाह जी ।
hasoc_hi_6578	"राजनीति में एक #आतंकी आ गई हैं #प्रज्ञा_ठाकुर
कभी शहीद का अपमान कर रही हैं तो क़भी राष्ट्रपिता की हत्यारे का सर्मथन
नफ़रत बोल...मुद्दा गर्म...व तुरंत माफ़ी
और दुनिया को बता रही हैं कि उसका #आतंकवाद से कोई रिश्ता नहीं
जिसके बोल इतने ख़तरनाक हैं सोचिए वह पुण्य की भगीरथ कैसे है."
hasoc_hi_5567	#LynchingDebate | WATCH: @asadowaisi hits out at BJP, RSS over Jharkhand lynching case, says 'incidents will not stop until government performs its constitutional duty'
hasoc_hi_3877	"भक्तों के सामने #राहुल जी की
तारीफ करने और #कुत्ते के!!
पिछवाड़े में पेट्रोल  डालने!!
पर #बिल्कुल एक सा!! 
रिएक्शन आता है,,,,!!
भक्त,,#जी_हाँ!!
     "
hasoc_hi_7486	"पूछी न ताची
अब्दुल्ला की चाची 
Our राष्ट्रनायक
#PM @narendramodi ji
is the pride  of #G20
'coz
#NarendraModi ji is d most
LOYAL World LEADER 

The future of
our country  #India
is very bright n the whole is
looking माँभारती>as> #विश्वगुरू"
hasoc_hi_3326	"वैसे मणीशंकर अय्यर मोदी जी को चुनाव जितवाने के कितना माल लेते होंगें??

#नीच #गुजरात #लोकसभा #काँग्रेस #हार"
hasoc_hi_6013	अरे भड़वा तुझे इमाम बोलने में शर्म आता है दलाल
hasoc_hi_2238	पीएम मोदी की कड़ी आलोचना के बाद आकाश विजयवर्गीय का निलंबन संभव: सूत्र
hasoc_hi_4621	"मेरी विश्वास की कश्ती भी
कागज की है
और
इश्क़ का
समंदर भी गहरा है
फिर भी ये दिल
कहानी को करने को हांसिल
उसी पानी मे उतरा है
अब मिले किनारा
या डूबूं मझधार
ऐ दिल
अब तेरा ही सहारा है......"
hasoc_hi_7517	"सैम पित्रोदा की हिन्दी ख़राब है 
मणि शंकर की हिन्दी ख़राब है 
शशि थरूर की हिन्दी ख़राब है 
अधीर रंजन चौधरी कि हिन्दी ख़राब है 
यहाँ तक की राहुल गांधी भी हिन्दी के कठिन शब्दों को मोबाइल में खोजतें हैं आनंद शर्मा के मुताबिक़ । पर पीएम मोदी गाली देनें वाले तेवर ख़राब नहीं हुए ।"
hasoc_hi_4367	आजकल की समाज सेवा भी शौहरत वह पद प्राप्त करने का जरिया बन गई है।।
hasoc_hi_6639	"जब बीज ही दूषित हो तो फसल कैसे अच्छी होगी @KailashOnline @sardanarohit
@2Suhana25 @KPadmaRani1 @Anjupra7743 @BhavikaKapoor5 @Pooja_2727 @_YogendraYadav @dimpleyadav @bjp_ka1_virodhi @manojkjhadu"
hasoc_hi_2377	"अरे पागल लिष्ट क्या भेजेगा तुमसे साल भर में मेरा कुछ न हो सका तो भी होश नहीं है मुशचन्दे जा बहन की चुदाई कर निकल अब यहां से। तुम्हारे सामने कोई मुल्ला रहता तो ऐसा जबाब नहीं देता। 
अब जा सो जा बीबी के पल्लू में byeeeee"
hasoc_hi_6565	प्रेमिका ने मेरे लुंड का कामर्स निकला 
hasoc_hi_7369	"मणि शंकर अय्यर का कहा शब्द बिल्कुल सटीक है इनकी भाषा शैली को सुनकर
#नीच"
hasoc_hi_5988	"What A Victory 
Tremendous effort by the boys. #CWC19"
hasoc_hi_2600	नवजीवन बुलेटिन: मारपीट के विरोध में हिंदु राव के डॉक्‍टर हड़ताल पर, मरीज हलकान, इस समय की 4 बड़ी खबरें  #Delhi #DoctorsStrike #Mayawati #CMyogi
hasoc_hi_4568	"देश का विभाजन हमने नहीं किया, हम आज भी कहते हैं कि धर्म के आधार पर देश का बंटवारा नहीं होना चाहिए।

ये ऐतिहासिक गलती हुई है जिसकी ऊंचाई हिमालय और गहराई सागर जितनी है।

ये गलती आपकी पार्टी ने की। कश्‍मीर का हिस्‍सा पाक को आपने दिया... उस भूल की सजा लोग भुगत रहे हैं: श्री अमित शाह"
hasoc_hi_6614	"मुंबई की बारिश जीने नहीं देगी!
देखिये #DeshTak @chitraaum के साथ शाम 7 बजे"
hasoc_hi_5210	"भोपाल की मासूम जनता,
माना की तुम्हें दिग्विजय पसंद नहीं था, पर ऐसी कौन सी बला आन पड़ी थी के तुमने #प्रज्ञा_ठाकुर को अपना बहुमूल्य वोट दे दिया। तुम्हें NOTA पर बटन दबाना चाहिए था पर अफ़सोस के तुमने एक आतंकी को संसद पहुँचा दिया।"
hasoc_hi_6856	इसका टिकट कंफर्म हो गया ये रोज पेला जाएगा अब 
