text,source,result
b'Mhimmatlarnn da tam olduundan emin olduktan sonra F-35nizi aln gtnze sokun. @realDonaldTrump @WhiteHouse Please... https://translate.google.com/#view=home&op=translate&sl=tr&tl=en',twitter,NAG
b'@realDonaldTrump Trump literally begging Iran to come to table b/c military isnt backing him - he is lying to Amer ppl again. No allies backing trump Not only has Xi on his side for tarrifs but Iran too  Stupid to think going to happen &  will give trump biggest loss of his life',twitter,OAG
"b""Excellent  Decision \nPresident\nDonald Trump \n\nBut Ensure That It Not Converted Into War. \nWorld People Wants Peace But Not War \n\nBBC News - US-Iran crisis: Trump lashes out at 'ignorant and insulting' statement\n""",twitter,NAG
b'#Chernobyl #native #slaughtered #halocaust #fukishima #trafficking #show #me #the #metadata #all #like #boom #bang #autodeath #autoheal #thrive #bioremediation #ubi #reperations #think #about #it #stop #the #free #for #all #JAPAN #PRIDE #YO #All #slaves #sum #slay #trump #style',twitter,NAG
"b""I know that Sarah Sanders was President Trump's shining star and I admired her.  I'm certain if you like Stephanie she will fill Sarah's shoes.  This position requires nerves of steel.  I'm sure she has it""",twitter,NAG
"b'Umm wrong.  It\'s called being flooded with TENS OF THOUSANDS OF PEOPLE and not enough room or resources to support.  You know, the ""fabricated"" crisis that @realDonaldTrump has been referring to for months now.  Glad you guys are finally catching on. #clownshow'",twitter,NAG
"b""You're doing the same, and nothing for the troops""",twitter,NAG
"b'Oh please, stop the grandstanding.'",twitter,NAG
"b'E Jean Carrol is not needed to smear President Trump. He can do that all by himself. By the way, she should get some assistance. TL'",twitter,CAG
b'Trump has a habit of creating a crisis and then jumping in and solving it. We HAD an agreement only problem in the @GOP s eyes is that it happened during Pres Obamas administration. You all need to get over yourselves and put country over party.',twitter,CAG
"b""They don't have to go to the camps.\n\nThey are volunteering when they choose to illegally enter.\n\nI know I am right, Border patrol doesn't abduct people from other countries.\n\nIf walls didn't work, there wouldn't be so many working right now & you wouldn't care if they were built.""",twitter,CAG
b'How will he defend us from him....resign',twitter,CAG
"b'""Trump threatens obliteration after Iran suggests he has a mental disorder"" - there\'s literally never been a better time for a career in diplomacy.'",twitter,NAG
"b""#ABD Bakan #Trump'n ei #Melania Trump, kendi iletiim direktr #StephanieGrisham'n #BeyazSaray Szcl grevine getirileceini aklad.\nAma ABD'de domokrosi sperr , heroyy zuuperr\nTrkiye'ye gelnce tu kaka\nTabii bu kadar haini barndrmadkllar iin ieride, normal""",twitter,CAG
"b""AOC is right and you are wrong.\nYou're just another shill for tRUmp at this point.\nYou should be ashamed of yourselves.""",twitter,OAG
"b""The whining @GOP!\n\nExtremely happy @realDonaldTrump ran on the law and order candidate.\n\nWe know you don't read just like Trumpenfhrer, but, here is the definition of the Hatch Act. """,twitter,NAG
b'Why do you talk in first person?',twitter,CAG
b'Now trump has to look for an even more evil guy to replace him. Draining the swamp ...',twitter,CAG
b'REPORT: Rep. Gaetz makes rare move to join Dem on #amendment to block #Trump on #Iran',twitter,NAG
"b""Where were you on this when this was done during the Obama administration? I have an idea. Let's build a wall so this continuous inflow of illegal aliens stops.""",twitter,NAG
"b'I was trying super hard to be kind. \n\nMy neighbor is a lovely old Italian guy that Ive known for over a decade. \n\nA Trump sticker appeared on his car 2 years ago. I was so very sad and disappointed.\n\nIf you actively support that goon, it speaks VOLUMES about exactly who you are.'",twitter,NAG
b'Another @realDonaldTrump  failure',twitter,NAG
b'Trump Regime&Border Control officials must be held accountable and charged with crimes against humanity... After Trump is finally gone (however it happens) he dhould never see the light of day again',twitter,NAG
b'Are you crazy?',twitter,OAG
b'He must have voted for trump',twitter,CAG
b'Khub Sundor',facebook,NAG
b'Laver dhon tiye khelo.......',facebook,NAG
b'Contact no 9634778414.call me please',facebook,NAG
b'Oh my god! West Bengal is now like running through emergency period. No law and order situation and you are reciting poem.',facebook,NAG
b'Industry chai madam',facebook,NAG
b'Didi u are greatest but ur hands are not good. Specially north Bengal',facebook,NAG
b'Mamata Didi is a genius leader. Welcome.',facebook,NAG
"b'Didi ektu titagarh Municipality te recruitment ta dekhun, ami 19 bachar dhare kaj kareo interview letter Elon na kintu staff aar councillor der relative ra interview letter kichu din kaj kareo interview letter Pete gelo, haito oder e habe'",facebook,NAG
b'CM an hoye POEM (poet) hole e valo korten',facebook,CAG
b'Thank you amader jela baniye deoar jnyo ',facebook,NAG
b'',facebook,NAG
b'Mohan Kobi ke amar pronam. Darun kobita.',facebook,NAG
"b'Apnar eto gun, ekadare artist, poet, writer, singer and above all politician, ba bah. Eto gun ek sathe kothai rakhen. Ei rokom ekjon mukhyomontry paoao bhagyer. Paschimbonger anek bhagyo bhalo je apni ei rajje jonmechhilen, tanahole ei rajjer je ki hoto.'",facebook,CAG
b'Chanchal k zila kore din.....chanchal er lok onek dik theke bonchito',facebook,CAG
b'      .  .         .',facebook,NAG
"b'Didi Tumi egie jao,amra tomar sathe achhi r thakbo'",facebook,CAG
b'         .                      ',facebook,NAG
"b'   ,  \n    ,   ....   ,      ,   ....'",facebook,NAG
b'Aybr North Murshisabad k ekta nw District koro didi please',facebook,NAG
b'Sotti upni eto kichu korechen alipurduarer jonnyo kintu ora jetalo kake na bjp er gorge barlaManush kotota okritoggo',facebook,CAG
b'Chor',facebook,NAG
b'      ',facebook,NAG
b'Alipurdwar er sab lok baiman. Ami 91 a pratham alipure jai takhankar alipur are ajker alipur narak are sarger sathe tulona karajay. Manush vabisattye bhjhbe tara kato bhul koreche.',facebook,NAG
b'Morjada dilona ...beiman alipurdoar...great didi',facebook,NAG
b'Khub Sundor',facebook,NAG
b'Laver dhon tiye khelo.......',facebook,NAG
b'Contact no 9634778414.call me please',facebook,NAG
b'Oh my god! West Bengal is now like running through emergency period. No law and order situation and you are reciting poem.',facebook,NAG
b'Industry chai madam',facebook,NAG
b'Didi u are greatest but ur hands are not good. Specially north Bengal',facebook,NAG
b'Mamata Didi is a genius leader. Welcome.',facebook,NAG
"b'Didi ektu titagarh Municipality te recruitment ta dekhun, ami 19 bachar dhare kaj kareo interview letter Elon na kintu staff aar councillor der relative ra interview letter kichu din kaj kareo interview letter Pete gelo, haito oder e habe'",facebook,NAG
b'CM an hoye POEM (poet) hole e valo korten',facebook,CAG
b'Thank you amader jela baniye deoar jnyo ',facebook,NAG
b'',facebook,NAG
b'Mohan Kobi ke amar pronam. Darun kobita.',facebook,NAG
"b'Apnar eto gun, ekadare artist, poet, writer, singer and above all politician, ba bah. Eto gun ek sathe kothai rakhen. Ei rokom ekjon mukhyomontry paoao bhagyer. Paschimbonger anek bhagyo bhalo je apni ei rajje jonmechhilen, tanahole ei rajjer je ki hoto.'",facebook,CAG
b'Chanchal k zila kore din.....chanchal er lok onek dik theke bonchito',facebook,CAG
b'      .  .         .',facebook,NAG
"b'Didi Tumi egie jao,amra tomar sathe achhi r thakbo'",facebook,CAG
b'         .                      ',facebook,NAG
"b'   ,  \n    ,   ....   ,      ,   ....'",facebook,NAG
b'Aybr North Murshisabad k ekta nw District koro didi please',facebook,NAG
b'Sotti upni eto kichu korechen alipurduarer jonnyo kintu ora jetalo kake na bjp er gorge barlaManush kotota okritoggo',facebook,CAG
b'Chor',facebook,NAG
b'      ',facebook,NAG
b'Alipurdwar er sab lok baiman. Ami 91 a pratham alipure jai takhankar alipur are ajker alipur narak are sarger sathe tulona karajay. Manush vabisattye bhjhbe tara kato bhul koreche.',facebook,NAG
b'Morjada dilona ...beiman alipurdoar...great didi',facebook,NAG
b'Nobel shree peye jaben..',facebook,NAG
b'  ',facebook,NAG
b'',facebook,NAG
b'\n                     ..\n                                  ..             ',facebook,NAG
b'                  ',facebook,CAG
b'Mamta moi maa tomai sotokoti pronam Janai..',facebook,NAG
b'   ',facebook,NAG
b'    .....   .....     alipurduar ?       ..... monitari .....      .',facebook,NAG
b'Thnx to our respected CM',facebook,NAG
b'Khub Sundor',facebook,NAG
b'Laver dhon tiye khelo.......',facebook,NAG
b'Contact no 9634778414.call me please',facebook,NAG
b'Oh my god! West Bengal is now like running through emergency period. No law and order situation and you are reciting poem.',facebook,NAG
b'Industry chai madam',facebook,NAG
b'Didi u are greatest but ur hands are not good. Specially north Bengal',facebook,NAG
b'Mamata Didi is a genius leader. Welcome.',facebook,NAG
"b'Didi ektu titagarh Municipality te recruitment ta dekhun, ami 19 bachar dhare kaj kareo interview letter Elon na kintu staff aar councillor der relative ra interview letter kichu din kaj kareo interview letter Pete gelo, haito oder e habe'",facebook,NAG
b'CM an hoye POEM (poet) hole e valo korten',facebook,CAG
b'Thank you amader jela baniye deoar jnyo ',facebook,NAG
b'',facebook,NAG
b'Mohan Kobi ke amar pronam. Darun kobita.',facebook,NAG
"b'Apnar eto gun, ekadare artist, poet, writer, singer and above all politician, ba bah. Eto gun ek sathe kothai rakhen. Ei rokom ekjon mukhyomontry paoao bhagyer. Paschimbonger anek bhagyo bhalo je apni ei rajje jonmechhilen, tanahole ei rajjer je ki hoto.'",facebook,CAG
b'Chanchal k zila kore din.....chanchal er lok onek dik theke bonchito',facebook,CAG
b'      .  .         .',facebook,NAG
"b'Didi Tumi egie jao,amra tomar sathe achhi r thakbo'",facebook,CAG
b'         .                      ',facebook,NAG
"b'   ,  \n    ,   ....   ,      ,   ....'",facebook,NAG
b'Aybr North Murshisabad k ekta nw District koro didi please',facebook,NAG
b'Sotti upni eto kichu korechen alipurduarer jonnyo kintu ora jetalo kake na bjp er gorge barlaManush kotota okritoggo',facebook,CAG
b'Chor',facebook,NAG
b'      ',facebook,NAG
b'Alipurdwar er sab lok baiman. Ami 91 a pratham alipure jai takhankar alipur are ajker alipur narak are sarger sathe tulona karajay. Manush vabisattye bhjhbe tara kato bhul koreche.',facebook,NAG
b'Morjada dilona ...beiman alipurdoar...great didi',facebook,NAG
b'Nobel shree peye jaben..',facebook,NAG
b'  ',facebook,NAG
b'',facebook,NAG
b'\n                     ..\n                                  ..             ',facebook,NAG
b'                  ',facebook,CAG
b'Mamta moi maa tomai sotokoti pronam Janai..',facebook,NAG
b'   ',facebook,NAG
b'    .....   .....     alipurduar ?       ..... monitari .....      .',facebook,NAG
b'Thnx to our respected CM',facebook,NAG
b'Awesome recitation in no doubt.thanks for this.',facebook,NAG
b'Many many thanks didi.',facebook,NAG
b'thanks DIDI u r the great... Pahar r duarser jonno apni onek kichu korechen... Vulte chailew kew vulte parbena... All the best...',facebook,NAG
"b'  ,                  -    '",facebook,CAG
"b'Good poetry. We are proud of our Mamata Banerjee, CM of Bengal. Always we shall be with you. Keep it up.'",facebook,NAG
b'Thnx to our respected CM',facebook,NAG
b'Happy birthday Aliporeduar...',facebook,NAG
b'Awesome awesome. Salute you didi.',facebook,NAG
b'Awesome our dear CM',facebook,NAG
b'Khub Sundor',facebook,NAG
b'Laver dhon tiye khelo.......',facebook,NAG
b'Contact no 9634778414.call me please',facebook,NAG
b'Oh my god! West Bengal is now like running through emergency period. No law and order situation and you are reciting poem.',facebook,NAG
b'Industry chai madam',facebook,NAG
b'Didi u are greatest but ur hands are not good. Specially north Bengal',facebook,NAG
b'Mamata Didi is a genius leader. Welcome.',facebook,NAG
"b'Didi ektu titagarh Municipality te recruitment ta dekhun, ami 19 bachar dhare kaj kareo interview letter Elon na kintu staff aar councillor der relative ra interview letter kichu din kaj kareo interview letter Pete gelo, haito oder e habe'",facebook,NAG
b'CM an hoye POEM (poet) hole e valo korten',facebook,CAG
b'Thank you amader jela baniye deoar jnyo ',facebook,NAG
b'',facebook,NAG
b'Mohan Kobi ke amar pronam. Darun kobita.',facebook,NAG
"b'Apnar eto gun, ekadare artist, poet, writer, singer and above all politician, ba bah. Eto gun ek sathe kothai rakhen. Ei rokom ekjon mukhyomontry paoao bhagyer. Paschimbonger anek bhagyo bhalo je apni ei rajje jonmechhilen, tanahole ei rajjer je ki hoto.'",facebook,CAG
b'Chanchal k zila kore din.....chanchal er lok onek dik theke bonchito',facebook,CAG
b'      .  .         .',facebook,NAG
"b'Didi Tumi egie jao,amra tomar sathe achhi r thakbo'",facebook,CAG
b'         .                      ',facebook,NAG
"b'   ,  \n    ,   ....   ,      ,   ....'",facebook,NAG
b'Aybr North Murshisabad k ekta nw District koro didi please',facebook,NAG
b'Sotti upni eto kichu korechen alipurduarer jonnyo kintu ora jetalo kake na bjp er gorge barlaManush kotota okritoggo',facebook,CAG
b'Chor',facebook,NAG
b'      ',facebook,NAG
b'Alipurdwar er sab lok baiman. Ami 91 a pratham alipure jai takhankar alipur are ajker alipur narak are sarger sathe tulona karajay. Manush vabisattye bhjhbe tara kato bhul koreche.',facebook,NAG
b'Morjada dilona ...beiman alipurdoar...great didi',facebook,NAG
b'Nobel shree peye jaben..',facebook,NAG
b'  ',facebook,NAG
b'',facebook,NAG
b'\n                     ..\n                                  ..             ',facebook,NAG
b'                  ',facebook,CAG
b'Mamta moi maa tomai sotokoti pronam Janai..',facebook,NAG
b'   ',facebook,NAG
b'    .....   .....     alipurduar ?       ..... monitari .....      .',facebook,NAG
b'Thnx to our respected CM',facebook,NAG
b'Awesome recitation in no doubt.thanks for this.',facebook,NAG
b'Many many thanks didi.',facebook,NAG
b'thanks DIDI u r the great... Pahar r duarser jonno apni onek kichu korechen... Vulte chailew kew vulte parbena... All the best...',facebook,NAG
"b'  ,                  -    '",facebook,CAG
"b'Good poetry. We are proud of our Mamata Banerjee, CM of Bengal. Always we shall be with you. Keep it up.'",facebook,NAG
b'Thnx to our respected CM',facebook,NAG
b'Happy birthday Aliporeduar...',facebook,NAG
b'Awesome awesome. Salute you didi.',facebook,NAG
b'Awesome our dear CM',facebook,NAG
b'Very proud of you with your performance',facebook,NAG
b'Great work Didi zindabad',facebook,NAG
b'World Best CM great work our Didi',facebook,NAG
b'Congratulations didi',facebook,NAG
b'Khub Sundor',facebook,NAG
b'Laver dhon tiye khelo.......',facebook,NAG
b'Contact no 9634778414.call me please',facebook,NAG
b'Oh my god! West Bengal is now like running through emergency period. No law and order situation and you are reciting poem.',facebook,NAG
b'Industry chai madam',facebook,NAG
b'Didi u are greatest but ur hands are not good. Specially north Bengal',facebook,NAG
b'Mamata Didi is a genius leader. Welcome.',facebook,NAG
"b'Didi ektu titagarh Municipality te recruitment ta dekhun, ami 19 bachar dhare kaj kareo interview letter Elon na kintu staff aar councillor der relative ra interview letter kichu din kaj kareo interview letter Pete gelo, haito oder e habe'",facebook,NAG
b'CM an hoye POEM (poet) hole e valo korten',facebook,CAG
b'Thank you amader jela baniye deoar jnyo ',facebook,NAG
b'',facebook,NAG
b'Mohan Kobi ke amar pronam. Darun kobita.',facebook,NAG
"b'Apnar eto gun, ekadare artist, poet, writer, singer and above all politician, ba bah. Eto gun ek sathe kothai rakhen. Ei rokom ekjon mukhyomontry paoao bhagyer. Paschimbonger anek bhagyo bhalo je apni ei rajje jonmechhilen, tanahole ei rajjer je ki hoto.'",facebook,CAG
b'Chanchal k zila kore din.....chanchal er lok onek dik theke bonchito',facebook,CAG
b'      .  .         .',facebook,NAG
"b'Didi Tumi egie jao,amra tomar sathe achhi r thakbo'",facebook,CAG
b'         .                      ',facebook,NAG
"b'   ,  \n    ,   ....   ,      ,   ....'",facebook,NAG
b'Aybr North Murshisabad k ekta nw District koro didi please',facebook,NAG
b'Sotti upni eto kichu korechen alipurduarer jonnyo kintu ora jetalo kake na bjp er gorge barlaManush kotota okritoggo',facebook,CAG
b'Chor',facebook,NAG
b'      ',facebook,NAG
b'Alipurdwar er sab lok baiman. Ami 91 a pratham alipure jai takhankar alipur are ajker alipur narak are sarger sathe tulona karajay. Manush vabisattye bhjhbe tara kato bhul koreche.',facebook,NAG
b'Morjada dilona ...beiman alipurdoar...great didi',facebook,NAG
b'Nobel shree peye jaben..',facebook,NAG
b'  ',facebook,NAG
b'',facebook,NAG
b'\n                     ..\n                                  ..             ',facebook,NAG
b'                  ',facebook,CAG
b'Mamta moi maa tomai sotokoti pronam Janai..',facebook,NAG
b'   ',facebook,NAG
b'    .....   .....     alipurduar ?       ..... monitari .....      .',facebook,NAG
b'Thnx to our respected CM',facebook,NAG
b'Awesome recitation in no doubt.thanks for this.',facebook,NAG
b'Many many thanks didi.',facebook,NAG
b'thanks DIDI u r the great... Pahar r duarser jonno apni onek kichu korechen... Vulte chailew kew vulte parbena... All the best...',facebook,NAG
"b'  ,                  -    '",facebook,CAG
"b'Good poetry. We are proud of our Mamata Banerjee, CM of Bengal. Always we shall be with you. Keep it up.'",facebook,NAG
b'Thnx to our respected CM',facebook,NAG
b'Happy birthday Aliporeduar...',facebook,NAG
b'Awesome awesome. Salute you didi.',facebook,NAG
b'Awesome our dear CM',facebook,NAG
b'Very proud of you with your performance',facebook,NAG
b'Great work Didi zindabad',facebook,NAG
b'World Best CM great work our Didi',facebook,NAG
b'Congratulations didi',facebook,NAG
b'Happy birthday didi',facebook,NAG
b'Didi nice love you',facebook,NAG
b'Very nice Didi',facebook,NAG
b'Happy Birthday to you DIDI',facebook,NAG
b'Final will play India Vs New Zealand',facebook,NAG
"b"" my prediction says New Zealand will top and pak will be fourth.... Even your prediction is interesting (very good)... So let's see... I love to see Bangladesh in semi... But sometimes they react to the situation weirdly, otherwise Shaqib is the best player of the tournament... Shaqib - Mushfiq is the best Asian pair of current time...""",facebook,NAG
"b'Still early but my prediction saying India, New Zealand, Australia, Pakistan will qualify for the semi and Battle between India Vs Australia and New Zealand Vs Pakistan....'",facebook,NAG
b'Still waiting',twitter,NAG
b'Hows Brexit going guys? Must be nearly sorted by now?',twitter,NAG
b'Cant believe I once thought @NicolasSarkozy and @berlusconi were the most useless politicians of all time.',twitter,OAG
b'And @yanisvaroufakis blamed everyone else for his mistakes too but at least he had a sense of humour.',twitter,CAG
b'I know we all want to be leaders in AI but it might help if the UK stopped sending a f***ing robot to these Eurosummits #EUCO',twitter,NAG
"b'I mean, the Brexit Express literally appears to be going backwards but OK'",twitter,NAG
b'Genuinely touching to see the UK making a genuine effort to leave Europe at last #Eurovision',twitter,NAG
b'Fuck me this is like the European Conncil from Hell #Eurovision2019',twitter,NAG
"b'Well, theres your withdrawal agreement guys. #nulpoints #threepoints #Eurovision'",twitter,NAG
b'Could I just check with my British friends how much of the six month Brexit extension they are planning to spend tweeting about milkshakes?',twitter,NAG
"b'Theyve had an election, their Prime Minister is about to resign, and yes the British are still tweeting about milkshakes. Were going to miss you guys .'",twitter,NAG
"b'Sorry guys, Ive got to see off another six British Prime Ministers before I can quit'",twitter,NAG
b'Have you ever been to one of those parties where you feel like the odd one out? Cant quite put my finger on why that happened today.',twitter,CAG
b'So the Team Boris playbook is:\n1) Hide from scrutiny\n2) Attack the organisations seeking to scrutinise\nDo Tory MPs and members really want to bring these Trump tactics to the UK? Really?',twitter,NAG
"b'I can think of one way you could keep a British judge on the ECJ, Herr Baker.'",twitter,NAG
"b'Good luck, United Kingdom.'",twitter,NAG
b'Your Conservative and DUP colleagues voted not to leave three times.',twitter,CAG
b'What the actual fuck',twitter,NAG
b'How is it possible to be weirder than @theresa_may',twitter,NAG
b'',twitter,NAG
"b""The UK is just going to be like another mistress for #BorisJohnson. He'll fuck her completely but eventually get bored with her and piss off, denying any responsibility for whatever bastard encumbrances he leaves her with.\nWibble.""",twitter,CAG
"b'Ppl keep telling me that I cant be a politician bc I have a vile mouth (not that Ive EVER said I wanted to be one). If Boris Johnson can use overtly racist language and still run for PM, Im sure I could be a politician despite saying fuck and suck ur mum to racists '",twitter,OAG
b'Boris Johnsons Britain For Fuck Sake \n\n#SixWordHorrorStory pic.twitter.com/XJeZhfOSfp',twitter,NAG
"b'Its not often I post political tweets, but this really fucks me off and scares me - Boris Johnson as PM  pic.twitter.com/K7aSIDEuiB'",twitter,NAG
b'Fuck @BorisJohnson pic.twitter.com/f6OtFoZB2A',twitter,NAG
"b'boris johnson most likely to be our next prime minister? fuck that for a laugh, stop the world im getting off'",twitter,NAG
b'Jesus suffering fuck! Hunt or Johnson. Hands up everyone who is now up for a shit load of chaos with Ed Miliband? #chaoswithedmiliband  #ToryLeadershipContest #BrexitShambles #BorisJohnson pic.twitter.com/6A43S8lBkE',twitter,OAG
b'What. The. Fuck. Is wrong with these tory men. Keep your fucking hands off women. Sicko. #Boriswifebeater #borisbehindbars #boristhebeater https://www.theguardian.com/politics/2019/jun/21/police-called-to-loud-altercation-at-boris-johnsons-home?CMP=Share_iOSApp_Other',twitter,NAG
b'Love the way this fortune teller tells #BorisJohnson to go and fuck himself #BorisJohnsonShouldNotBePM pic.twitter.com/6fuxXu56Dx',twitter,NAG
b'@BorisJohnson just fuck off. The country fucking hates you. pic.twitter.com/0vmg3ZD9Ei',twitter,OAG
