id	tweet_id	text	task_1	task_2	task_3
73	1.13959400909177E+018	500 doctors have already resigned in #Bengal.    NRS 100  SSKM 175  National medical college 20  RG Kar 126  North Bengal college 119  Murshidabad 50  Rampurhat 37  Burdwan 26    #DoctorsFightBack #SaveTheDoctors	NOT	None	NULL
76	1.13958777453989E+018	Hi everyone, I'm in Kolkata and just thought I'd let you know about some crazy goings on in the medical world here, which has become front page news.    Recent years have seen a rise in violence against doctors, often the most junior.     #DoctorsFightBack https://t.co/Wk3I7bXMR1	NOT	None	NULL
77	1.13974494157844E+018	@BCCI @ICC @englandcricket Worst ever world cup arrangement in cricket history #ShameOnICC #ShameOnEngland  #WC2019 No swimming pool, gym in hotel. #EnglishBeggers #RoyalBeggers	NOT	None	NULL
78	1.13955754674486E+018	@realDonaldTrump fuck you and go fuck yourself you piece of shit someone get this asshole a jail cell for his birthday #ImpeachTrumpNow #fucktrump #dickstaindonald #DerangedDonald https://t.co/41eFBCu2uD	HOF	PRFN	TIN
80	1.13961446050986E+018	Donald Trump lies.  #TrumpIsATraitor   Happy #JohnMcCainDay ! https://t.co/uaFNXVT2m5 https://t.co/WeBD6lhm54	NOT	None	NULL
84	1.14027059076449E+018	@TheRealOJ32 Of all the retired NFL players, why is it that you DON’T suffer from CTE?     You should be at the bottom of a pool you mistook for an elevator. #murderer	HOF	HATE	TIN
85	1.13984252840295E+018	The Telegraph´s use of the word ´crown´ with regard to Boris Johnson just says it all.  #BorisJohnsonShouldNotBePM   https://t.co/ynmm0Ryugq	NOT	None	NULL
86	1.13956806432263E+018	#DoctorsFightBack | No doctor wishes to stop emergency services: Dr Sayantan Banerjee, Resident doctor, AIIMS (Relative of assaulted Dr Paribaha Mukherjee) https://t.co/6OhGHwzPKy	NOT	None	NULL
87	1.1397494202185E+018	@timesofindia No worries @timesofindia because there will be on only one winner   And that is  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  Rains🤷   #ShameOnICC   .  .  .  .	NOT	None	NULL
89	1.13763850349436E+018	Will @ImRo45 score a 100 again today?  Predict @ https://t.co/miljukaKu1 and win prizes.   #INDvAUS #DhoniKeepsTheGlove   #DhoniAtCWC19 https://t.co/rZ1dlFsKOX	NOT	None	NULL
91	1.13986454573493E+018	DON'T support a country Who has Concentration Camps againts small etnich groups and religions      DON'T support the violencie and discrimination 🚫    #HumanRights #BoycottChina #StopRacismo #Diversity #China #EndHate #StopViolence https://t.co/FLmiZWIFjY	NOT	None	NULL
92	1.13703563177782E+018	#DhoniKeepsTheGlove@ICC you are zero without dhoni like captain,person... https://t.co/jxBh5MW1L5	NOT	None	NULL
93	1.13986093420432E+018	@ashwinnagar @MamataOfficial For interest of puplic she is speaking #DoctorsFightBack #doctors @MamataOfficial #MamataBanarjee	NOT	None	NULL
94	1.13947263089173E+018	Now if all remaining matches will get washed   NZ - 12  Ind - 11  Eng - 10  Aus - 10  WI - 9  SL - 9  Pak - 9  Ban - 8   SA - 6  Afg - 6    Semis  Aus vs NZ (If rain doesn't stop)  NZ  Eng vs Ind (If rain doesn't stop)  Ind    Final  Ind vs NZ (If rain doesn't stop)  NZ - India will win #ShameOnICC	NOT	None	NULL
97	1.13892058387655E+018	@Werdnat This crazy Manbaby will probably paint it gold.  Not gawdy at all.    #ihate45   #worstPresidentever   #weaselheadedfucknugget   #shutyourshithole   #fucktrump   #yousuck   #liarinchief   #noclass   #moron   #ridusofthisdisease  #UnfollowTrump  ┌∏┐ (•˽•)┌∏┐	HOF	PRFN	TIN
101	1.13930173200405E+018	This is everything. #fucktrump https://t.co/e2C48U3pss	HOF	PRFN	TIN
104	1.13983767785815E+018	@AMISHDEVGAN Where were the IMA &amp; other associations when doctors were being hounded for a year after #BRDOxygenTragedy without any fault of their own? Doctors need to stand up with each other, no matter who the assaulter is and who is in power  #DoctorsFightBack #DoctorsProtest	NOT	None	NULL
105	9.4908888990122E+017	Hey Trump ! These lovely ladies got something to tell ya ....  #FUCKTRUMP https://t.co/s1WhlaPaMf	HOF	PRFN	TIN
106	1.13959168054025E+018	I love this bill, I think they should start printing them #FuckTrump https://t.co/NY9CuyivGl	HOF	PRFN	TIN
107	1.13810442806038E+018	So basically he’s not vegan #dickhead 🙄 https://t.co/Z2SPDxudxp	HOF	PRFN	TIN
108	1.14039976633928E+018	@TheRealOJ32 The world will rejoice when you die. #murderer #classless	HOF	OFFN	TIN
111	1.13986013054193E+018	Acoustic &amp; Electric Guitar Kits from Rs.1699    https://t.co/wXRyzchSIH    Guitars &amp; Other Musical Instruments Upto 75% off    https://t.co/NCQt99ChnD    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll	NOT	None	NULL
112	1.13880104801189E+018	@realDonaldTrump Maybe @LindseyGrahamSC should take his lips off your ass, read the report, and get with the dems and everyone else with half a brain and get YOU out of the White House! 🤷‍♂️ #POSPOTUS #ASSKISSERS #ImpeachTrump #FuckTrump #ButNotLiterallyLindsey	HOF	PRFN	TIN
113	1.13898686840456E+018	https://t.co/soiOMk5pal    “This ruling sends a clear message that Muslim voices will not be silenced by threats and hate.” - @DeanObeidallah via @WashTimes     @MuslimAdvocates helped represent Mr. Obeidallah.     #AntiMuslim #Islamophobia #Justice https://t.co/9oV1I1zxev	NOT	None	NULL
118	1.13785999187903E+018	-50'C to -70'C avg. temp in #Siachen, in winters(avg. people feel cold +15'C)    In such #Skull freezing envrmnt #IndianArmy protect #us    But people like kanahiya kumar referred #IndianArmy as #rapist and supports who abuses and throw stones at #IndianArmy    https://t.co/gI6xQum7Ln	NOT	None	NULL
120	1.13986496895679E+018	Mamta ji pls don't drag Muslims in this case no one said they won't treat any particular religion   I am  a muslim pls stop speculating situation based on religion  Stop playing bloody politics   #MamtaBanerjee #DoctorsFightBack #India #westbengal #trinamool	NOT	None	NULL
122	1.14063425280086E+018	Are you watching, Johnson?  #borisjohnson  #BorisJohnsonShouldNotBePM #incompetent https://t.co/ysNwC9fGuI	NOT	None	NULL
123	1.13841641949698E+018	Well come to New Pakistan with new rates   #Budget2019 #PTIGovernment #imranhataomulkbachao https://t.co/Jj2Ip6YvSZ	NOT	None	NULL
124	1.14037178477409E+018	@realDonaldTrump Just this: T.R.U.M.P  is ...    GOOD! HE SHOULD BE!    #TrumpIsATraitor https://t.co/5LbpbOCrdg	NOT	None	NULL
127	1.14065890556502E+018	just going to leave this here 👏🏻 keep your eyes and mind open to how the media portray people and remember, question everything #Leadersdebate #BorisJohnsonShouldNotBePM https://t.co/xIKypuvnLA	NOT	None	NULL
128	1.13968773933756E+018	All the best to #TeamIndia for another swimming competition on Sunday against   #India 🇮🇳 #Pakistan. 🇵🇰     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/LmI5bnCCvR	NOT	None	NULL
131	1.13932844022048E+018	Unisex Anti Trump AF T-Shirt in Extended Sizes - Small up to 5x https://t.co/cCONVvIIWf  #fucktrump #antitrump #votebluenomatterwho https://t.co/oQkq0Ya6Gy	NOT	None	NULL
134	1.13978513001944E+018	@ICC @bira91 This world cup 19 should be ban !! 😡😡 Rain rain rain motherfuckerr ICC   Shift this world to another country or ban this world cup 19 😡😡   #ShameOnICC 😡😡	HOF	PRFN	TIN
135	1.1398163685287E+018	Learn how to cover up the ground #ShameOnICC	NOT	None	NULL
136	1.13857011628581E+018	😅😂🤣🤣    LMAO at the shoe-lifts, girdle-butt stance.  Pathetic.    But #FUCKTRUMP for the vomitus of lies he spews and crimes he commits😡🤬🤮🤬😡 https://t.co/1IhAUsvqnx	HOF	PRFN	TIN
139	1.13948317346374E+018	We have waited 4 years to see the world cup matches, not the rain. If this continues it will be very disappointing for all the fans.#ShameOnICC	NOT	None	NULL
141	1.13851417766265E+018	Gee... where have we seen this before? #fucktrump #ImpeachDonaldTrumpNOW Leaked docs reveal Russian effort to exert influence in Africa  https://t.co/Hb5krYqkIB	NOT	None	NULL
142	1.13934855754089E+018	Sarah Sanders is floating the idea of running for Arkansas governor, sources say #Resist #ResistTrump #FuckTrump https://t.co/L78qmZDJWu	NOT	None	NULL
144	1.14005215142041E+018	#dirtyjohn #bravo holy crap the guy was in #LosGatos and that's in my neck of the woods it's #siliconvalley #sanjose #scary #murderer	NOT	None	NULL
145	1.13954225772641E+018	#ShameOnICC: Indian Fans Unleash Their Wrath Upon ICC After Another World Cup Washout https://t.co/UeO1Iy22cr	NOT	None	NULL
146	1.13732861330767E+018	Throwback to the time when Pak dedicated an entire match to its army and the ICC didn't even flinch. India must not be pressured by ICC and change #Dhoni gloves. Don't let Pak win. Boycott the WC India!    #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #DhoniKeepTheGloves https://t.co/pcJdN21liN	NOT	None	NULL
147	1.13887925663147E+018	I want to know too!  Thanks @AOC for asking these questions !  #FuckTrump #BeBest #OrangeFoolius. https://t.co/FLZlaqdSLt	NOT	None	NULL
152	1.13976879601567E+018	We don't need a special law. WE NEED PROPER UNBIASED ENFORCEMENT OF EXISTING LAWS. Once they are applied properly  and people jailed there will be deterrence.  We doctors must win back the trust of the people. This will ensure political support for us.  #DoctorsFightBack	NOT	None	NULL
153	1.13991053502401E+018	Top 50 hashtags mentioning @realDonaldTrump for 2019-06-15 07:00 to 2019-06-15 15:00 GMT+0  #MAGA #JohnMcCainDay #Trump2020 #DerangedDonald #Trump #TrumpIsATraitor #ImpeachTrumpNow #WWG1WGA #RT #ImpeachTrump   https://t.co/CSJrZiSfsH	NOT	None	NULL
154	1.13717694376426E+018	#DhoniKeepsTheGlove why only dhoni all the indian audience should also wear   the jersey and banner with 'Balidan' Insignia. Tv channels ,news papers and wherever possible should include this insignia.	NOT	None	NULL
155	1.13954619758316E+018	@jimsciutto @RepMcCaul Except... Trump’s hand has already been caught in the cookie jar trying to get “dirt” on an opponent from Russia.     Remember... Trump Tower?     #TrumpIsATraitor   #ImpeachmentHearingsNow https://t.co/AWvmmEqN2F	NOT	None	NULL
156	1.13965394015969E+018	Crabs LIVE! Covering the lies of the sleazy, cheating #GOP! https://t.co/GLZrjv6HxA ---&gt; 'Viva La Resistance!' #Trump #fucktrump #libcrib	NOT	None	NULL
157	1.13983354374639E+018	Livpure Glo 7L RO+UV + Mineralizer Water Purifier  @ Rs.9499 (mrp-15990)    https://t.co/iNAuUJY5tX    More:  https://t.co/Qw2tZtN8Lx    https://t.co/iNAuUJY5tX    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll	NOT	None	NULL
158	1.13942494449483E+018	The most awaited variant from #OnePlus - #OnePlus7Pro in Almond.  Buy Now on @amazonIN 👉https://t.co/yt4E7vkM32 with an EMI starting at just ₹2,495    #OnePlus7IsHere #oneplus7series #OnePlus7 #WorldBloodDonorDay #ShameOnICC #FridayMotivation #NBAFinals #FridayFeeling #WeTheNorth	NOT	None	NULL
159	1.13930469801038E+018	Ted Bundy’s final meal. He didn’t even pick at it. #execution #murderer #killer #tedbundy #breakfast #lethalinjection https://t.co/xJ4LrWmcph	NOT	None	NULL
160	1.138988265653E+018	@CMofKarnataka,@siddaramaiah,  @MBPatil @DVSBJP  Dear Sir please look at this video we all met Earlier Homeminster for #TGSFraud and #DreamZGKfraud Like you he also promised.#IMAfraud https://t.co/PKAlmcjPcf  @suvarnanewstv	NOT	None	NULL
161	1.13717151073127E+018	Dear @ICC this is world cup not a club cricket so please check the umpiring errors instead of @msdhoni gloves.  #DhoniKeepsTheGlove #DhoniKeepTheGlove   #DhoniKeSaathDesh	NOT	None	NULL
162	1.13947183278698E+018	#INDvsNZ toss be like....#ShameOnICC https://t.co/aO6mN6OEl7	NOT	None	NULL
167	1.13755738612468E+018	@dna Instead of focusing on game, why have a unnecessary controversy. Is wearing a symbol only way to show respect. Rather Win the worldcup and dedicate it to our forces. It will give them more high n respect worldover. Its a matter of priority n  focus.#DhoniKeepsTheGlove	NOT	None	NULL
173	1.14055919239632E+018	Boris Johnson = chaos  @RoryStewartUK  = stability    It really is as simple as that! #Toryleadership #BorisJohnsonShouldNotBePM https://t.co/Uv37w5YMVC	NOT	None	NULL
174	1.13728162568995E+018	#DhoniKeepsTheGlove     What's wrong with @ICC??   Dhoni is first a soldier then a cricketer.....   @BCCI	NOT	None	NULL
176	1.13981728402787E+018	#DoctorsFightBack #PresidentsRule is only option TMC goons r not in control of @mamt https://t.co/XZvOa2LaO5	NOT	None	NULL
178	1.13720518338811E+018	@ICC why is it okay? #DhoniKeepsTheGlove #DhoniKeSaathDesh https://t.co/my3pMe9x2O	NOT	None	NULL
179	1.13727148439137E+018	You #supportdhoni  #MSDHONI  #DhoniKeSaathDesh  #Dhoni ???  #BCCI  #CWC19  #DhoniKeepTheGloves  #DhoniKeepsTheGlove  #DhoniKeepBalidaanBadgeGlove  #BalidanBadge  #Balidan  #bbccricket  #CricketWorldCup2019  #WorldCup2019    Retweet 🔄 for #msdhonigloves   Like 👍 👇	NOT	None	NULL
180	1.13989356856539E+018	@cbouzy Did my part.    #Murderer	NOT	None	NULL
186	1.1398574167769E+018	Hypocrisy of the Indian elite    #SaveBengal #Savethedoctors #India #MamataLosingControl #MamataBanerjee #Kolkata #WestBengal #BengalDoctorsStrike @MamataOfficial @BJPBengal @NewIndianXpress @TimesNow @republic #democracy #DoctorsFightBack #DoctorsStrike #DoctorsProtest https://t.co/OEDcx2uCeq	NOT	None	NULL
189	1.1397803362865E+018	5000+ Doctors and Non Medicos walked from NRS to CNMC for our cause.   History has been created as this is probably one of the biggest movement that has been carried out by the doctors.   #DoctorsFightBack https://t.co/QVZ12X03ma https://t.co/OKgUzp5JRa	NOT	None	NULL
190	1.1398737588716E+018	@realDonaldTrump Destroy our country?  More like defending our country against a treasonous traitor in the white house!    #TrumpIsATraitor   #TrumpTaxes  #TrumpsAnInternationalDisgrace   #TrumpMustResign	HOF	OFFN	TIN
194	1.14038848344745E+018	Gabor nails it again. A voice of reason.  #BorisJohnsonShouldNotBePM https://t.co/OzkGK5vL7n	NOT	None	NULL
202	1.13941144888127E+018	Few minutes left for Almond #OnePlus7Pro on @amazonIN   Available with #SBI Cash back of ₹2000 and up to 6 months No Cost EMI 💳    Quick hands on to buy it 👇    #OnePlus7 #OnePlus7IsHere #OnePlus7Pro #OnePlus  #WeTheNorth #ShameOnICC #FridayMotivation #FridayFeeling #NBAFinals	NOT	None	NULL
204	1.13864578767444E+018	AOC asks the FBI why they give white supremacists a pass #Resist #ResistTrump #FuckTrump https://t.co/kZscCJo2jR	NOT	None	NULL
205	1.13878362262494E+018	@kojikabu @Maggie_Klaus @JoeBiden What it is that we will do anything to get trump the hell out there EXCEPT CHEAT LIKE TRUMP DID!!!!  #FuckTrump #Bluewave2020	HOF	HATE	TIN
207	1.13831748191384E+018	Boris Johnson will lie about anything if it gives him an advantage. In the local elections he was forced to delete a tweet claiming to have just voted...BUT, there were no elections in his area! This Trump-like compulsive liar just can't stop himself... #BorisJohnsonShouldNotBePM https://t.co/Gpm4d9k8oR	NOT	None	NULL
209	1.13753434184259E+018	Ian Bagg Part 4: He once told a feature act who asked to sell his album after the show, “Nope, they came for me, not you”     #Fact #DoucheBag #50YearOldMan #47viewedPodcast	NOT	None	NULL
211	1.14063014001743E+018	@GuidoFawkes What a nasty lot #ToryLeadershipContest contenders have exposed themselves to be!  #ToryLeadershipContest   #BorisJohnsonShouldNotBePM	NOT	None	NULL
212	1.13885521011643E+018	Marlon Craft - Gang Shit (Official Music Video) https://t.co/jh7QJds6n0 via @YouTube @GOP #FuckTrump #CopsAreTheGang	NOT	None	NULL
214	1.14057266463078E+018	@BorisJohnson If we want to unite our country- we should commit that anyone who us scared to face a bit of public scrutiny shouldn't be allowed to run for Prime Minister...  #BorisJohnsonShouldNotBePM #BorisJohnson #ToryLeadership #ToryLeadershipDebate #ToriesOut	NOT	None	NULL
215	1.13934860845974E+018	Analysis: Sarah Sanders' legacy: The death of the White House press briefing #Resist #ResistTrump #FuckTrump https://t.co/jjU0hqifun	NOT	None	NULL
216	1.14052843723443E+018	So it looks like the lying incompetent homophobic racist #BorisJohnson will be the next #Tory leader...well at least we’ll get a #GeneralElection eh Boris?  #BorisJohnsonShouldNotBePM #ToryDrugOff #ToryLeadershipContest https://t.co/Ho4HibTo7A	HOF	OFFN	TIN
217	1.13981291977078E+018	It's not a windmill.  It's not a fan.  It's a wind turbine and it's good for the environment.    #fucktrump https://t.co/jWfqPYuV2Y	NOT	None	NULL
218	1.13981751320045E+018	@mayukhrghosh This is applaudable move by doctors. They save our lives. We must support them against the voilence. #Savethedoctors  #DoctorsFightBack	NOT	None	NULL
219	1.13982638135995E+018	This will not work we are not scapegoats.. centre should intervene. .  #DoctorsFightBack @narendramodi @PMOIndia @AmitShah @drharshvardhan	NOT	None	NULL
220	1.13934897775567E+018	Mitch McConnell, Too, Welcomes Russian Interference #Resist #ResistTrump #FuckTrump https://t.co/lrfPdmtEyk	NOT	None	NULL
221	1.13956270783171E+018	If a doctor needs to be assualted or killed for every patient who dies during treatment, then here is a list of people who also deserve the same fate. #Savethedoctors #SaveBengal #savethesaviour #SaveDoctors #DoctorsFightBack #DoctorsStrike #DoctorsProtest #doctor #DoctorStrike https://t.co/RPe3CTQPp3	NOT	None	NULL
222	1.13815408101972E+018	@mkraju Says the guy who killed the tree that Macron gave u for friendship n peace!! #sad #douchebag	NOT	None	NULL
223	1.14010098704415E+018	@TheRealOJ32 ...You're finally going to admit to something bad you did in the past?    #Juice #THEJUICEISLOOSE  #OJ #Simpson #Golf #course #Killer  Are you #OnTheHunt for the real #Killers?  #Murder #Redrum #Murderer?  #NicoleBrownSimpson #RonGoldman #Admit what you did #Comeclean  Tell the #truth https://t.co/LHiXlgS0wW	NOT	None	NULL
224	1.14050080231592E+018	#BorisJohnsonShouldNotBePM he is already ducking and diving the 5 friendly candidates...God help us when it comes to to the 27 European countries!! https://t.co/siS59z36pR	NOT	None	NULL
225	1.13981192383741E+018	1.Death of Dr Payal Tadvi  2.Arresting of Dr kafeel khan  3.72 children die due to insufficient oxygen!  Where were these doctors?  #DoctorsStrike  #DoctorsFightBack #DoctorsProtest #Savethedoctors	NOT	None	NULL
226	1.13958708709353E+018	Vinay Tewari, Consulting Editor: Global sporting events across the world work on volunteers &amp; I'm not too sure if #England is so badly placed that they can't hire 100 people as volunteers to push the cover to the ground #ShameOnICC https://t.co/c31H5rY6PJ	NOT	None	NULL
227	1.13980541244882E+018	#IndianPsychiatricSociety stands by #IndianMedicalAssociation. Condemns #ViolenceAgainstDoctors  #DoctorsFightBack #SolidarityWithNRSMCH #StopViolenceAgainstDoctors @MamataOfficial https://t.co/FIpSvBEdDb	NOT	None	NULL
228	1.13722345268158E+018	I urge every Indian to send mail to icc at enquiry@icc-cricket.com with this image asking them why he can’t keep the logo on that glove ?   #DhoniKeepTheGlove  #DhoniKeepsTheGlove https://t.co/OYP3eJcGCt	NOT	None	NULL
229	1.13970350767258E+018	@realDonaldTrump @StateDept @SecPompeo Japan disagrees...they saw something 'flying in' and then hitting the boat. #TrumpIsATraitor https://t.co/ADZvw82uZi	NOT	None	NULL
231	1.13992781909648E+018	@DesiCryptoHodlr In #India the severity of punishment for Holding just #bitcoin is equivalent the crime done by a #Rapist or a #Murderer Or #money Launderer or extortionist.   Really amazed to see where we are Heading.	NOT	None	NULL
232	1.13723154038619E+018	@TajinderBagga @fawadchaudhry 2uat @cricketworldcup is doing they have objection on #DhoniKeepsTheGlove	NOT	None	NULL
233	1.13783766038136E+018	Do your job #Senators #MBS #Murderer https://t.co/L0w7owl9gc	NOT	None	NULL
234	1.13782977547128E+018	#Trump's Constant Attacks on #FreePress are Merciless Attacks on #Democracy's Foundation #FuckTrump #TrumpFascism #ImpeachTheMF #StopFascism #Drumpf #ResistTrump #FascistTrump #SaveDemocracy #Cult45 #NotMyPresident #StopHate  #DumpTrump #PutinsPuppet #FBR https://t.co/nMKXGqFxMx	NOT	None	NULL
235	1.14024352783576E+018	@realDonaldTrump @JedediahBila Is there anything our so-called President does other than eating hamberder’s in bed and watching FauxNews while tweeting?    #LockTrumpUp  #ImpeachmentInquiryNow   #ImpeachTrump   #ImpeachBarr   #ImpeachMnuchin  #TrumpIsATraitor	NOT	None	NULL
239	1.13737105273075E+018	Meanwhile ....Dhoni's Reply To ICC ......    #DhoniKeepTheGlove #DhoniKeepsTheGlove   #DhoniKeSaathDesh  #dhonigloves #dhoni https://t.co/cEOOw8Kln3	NOT	None	NULL
240	1.1394734518596E+018	अभी भी समय बचा हुआ है।   Shift the #ICCCricketWorldCup2019   In India.😂😂  We need rain.  @BCCI  @ICC   @imVkohli   @msdhoni   @hardikpandya7   @SDhawan25     #ShameOnICC	NOT	None	NULL
241	1.1372986729311E+018	The whole #Dhoni’s gloves controversy during #CWC19, is outright immature &amp; mindless. I’d understand if there was anyone else you’d question the integrity &amp; intention  of, but not this guy. He is as pure &amp; genuine an ambassador of Sport, as you’ll ever get.     #DhoniKeepsTheGlove	NOT	None	NULL
242	1.13865433210092E+018	@mariomorgado @USWNT Losing 1, 13 or 100 is the same level of disappointment, so is winning 1 or 100 it's the same level of achievement and should be rewarded with any level of celebration desired.. It's hard work rewarded, not charity! #douchebag	NOT	None	NULL
243	1.13948987548755E+018	@aditi_hbl Proactive? Directive from above !! .. it is shameful interpretation from a journalist .  Every movement has a turning point ...   It is Now or Never   #DoctorsFightBack   #StopViolenceAgainstDoctors https://t.co/HFOFwA8S5M	NOT	None	NULL
